"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,prof-frontend,8034,4232046,7519,1236,108871000
2023-06-01,yandex,cpc,freemium,3605,2165987,3500,875,57918350
2023-06-01,yandex,cpc,prof-python,3720,2047612,3660,420,36791760
2023-06-01,yandex,cpc,prof-java,2597,1373225,2597,212,15083270
2023-06-01,yandex,cpc,base-python,651,377766,588,147,9996441
2023-06-01,yandex,cpc,base-frontend,1360,722440,1326,102,9129510
2023-06-01,yandex,cpc,prof-data-analytics,294,136066,294,42,4625544
2023-06-01,yandex,cpc,dod-php,44,23856,44,11,1652805
2023-06-01,yandex,cpc,base-java,620,385040,620,31,1488000
2023-06-01,yandex,cpc,prof-professions-brand,117,62634,117,27,1388583
2023-06-01,vk,cpc,freemium-frontend,320,252800,172,20,1352332
2023-06-01,vk,cpc,prof-java,204,158865,92,8,930904
2023-06-01,vk,cpc,prof-python,144,146016,80,10,711128
2023-06-20,telegram,cpp,base-java,3,,1,1,151192
2023-06-01,yandex,cpc,base-professions-retarget,4,604,4,1,134100
